altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,12,1,Chicago,127,True,True,Chicago,2019-07-13 22:57:50,41.925905,Chicago,-87.64926,60602,Chicago,Chicago,Lincoln Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,13,5,Chicago,128,True,True,Chicago,2019-07-13 23:09:21,41.895769,Chicago,-87.67722,60602,Chicago,Chicago,Damen Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,3,Chicago,129,True,True,Chicago,2019-07-13 22:57:42,41.857556,Chicago,-87.661535,60602,Chicago,Chicago,Blue Island Ave & 18th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,3,Chicago,130,True,True,Chicago,2019-07-13 23:07:25,41.903266,Chicago,-87.678435,60602,Chicago,Chicago,Damen Ave & Division St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,9,Chicago,131,True,True,Chicago,2019-07-13 23:10:31,41.939365,Chicago,-87.668385,60602,Chicago,Chicago,Lincoln Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,10,Chicago,132,True,True,Chicago,2019-07-13 22:56:47,41.849237,Chicago,-87.631715,60602,Chicago,Chicago,Wentworth Ave & 24th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,24,Chicago,133,True,True,Chicago,2019-07-13 22:58:58,41.88917683258,Chicago,-87.6385057718,60602,Chicago,Chicago,Kingsbury St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,9,10,Chicago,134,True,True,Chicago,2019-07-13 23:10:17,41.877749,Chicago,-87.649633,60602,Chicago,Chicago,Peoria St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,6,Chicago,135,True,True,Chicago,2019-07-13 22:55:35,41.85378,Chicago,-87.64665,60602,Chicago,Chicago,Halsted St & 21st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,14,1,Chicago,136,True,True,Chicago,2019-07-13 22:56:10,41.865054,Chicago,-87.656959,60602,Chicago,Chicago,Racine Ave & 13th St,IN_SERVICE,1,IN_SERVICE,False,15
